date,start_time,end_time,region,description
1404/05/16,17:00,19:00,بابرنامه,50- چهار راه گله محله تا چهار راه امیرکبیر (توحید 1 تا 40)، خورشیدکلا کوچه های (معراج 1 تا 16)
1404/05/16,17:00,19:00,بابرنامه,72- تهمتن کلا، حوزه شهری گلیا ، پاشا امیر، گنج کلا (بالا و پایین)، ادملا، کیمیون و خرطوسی، هشتَری و چالرز
1404/05/16,17:00,19:00,بابرنامه,37-حوالی پاساژ عبدالهی (فیضیه 1 تا 21)، میدان بزاز تا سه راه سنگ پل و تا میدان آستانه، کوچه های (ایثار 26 تا 56  و 27 تا 51) و (هادی 14 تا 22 و  9 تا 19)  و- ایثار 34کوچه شفق -و ایثار 29 بسمت مدرسه صبوری گوچه های شیخ کبیر 2تا 12 و ملانصیرایی 1تا 13
1404/05/16,17:00,19:00,بابرنامه,جاده بابل به بهنمير روستاهاي بالا و پايين بيشه سر و لنگور و کوچه هاي امام رضا روستاي آغوزبن  و اطراف تالار پاليز - روستای عزیزک کوچه های لاله یک تا لاله 20 - گلزار شهدا بالا محل و بهداری
1404/05/16,19:00,21:00,بابرنامه,45-میدان 17 شهریور هادیکوچه هابی هادی - چهار راه شهربانی تا چهاراه فرهنگ، عدنانی 18 ، کوچه شش دری،از چهارراه گنجینه تا بهاران 19 محله  برج،  خیابان مصطفی خمینی تا میدان سجودی (خورشید 1 تا 17 و 2 تا 6)، بیمارستان یحیی نژاد
1404/05/16,19:00,21:00,بابرنامه,3- میدان کشوری از (سرداران 1 تا 11)،  محله دارالشفاه تا چهار راه گلشن (کوچه های نصیرایی)، محله شاهکلا و کوچه های امامزاده یحیی تا سبزه میدان
1404/05/16,19:00,21:00,بابرنامه,16- هوشنگ پوری (بسیج های 10 تا 20)، میدان بسیج تا چهار راه امیرکبیر، از (توحید 46 تا 66) و (توحید 41 تا 49) وکوچه صائمی و توحید 43 بسمت خیابان گل
1404/05/16,19:00,21:00,بابرنامه,69- گری محله تا انتهای روستای ولیک، ادملا تا پل دیوا، شیاده، میاندره، کشتارگاه،  دولت رودبار و قسمتی از تشون وقسمتی از تهمتن کلا
1404/05/16,19:00,21:00,بابرنامه,ضلع جنوبي كمربندي اميركلا از خيابان تيركاران تا ميدان مقريكلا  -كمال محله  - اطراف اتش نشاني - خيابان آب و فاضلاب - از روبروي پمپ بنزين حميديان بسمت ميدان مقري كلا و كوچه صنعتگران مقريكلا
1404/05/16,19:00,21:00,بابرنامه,55- میدان مادر، حر 14، کوچه های (لاله 1 تا 14)، شهاب نیا کوچه های (حر 11 تا 25) و حر 8
